时间,类型,舰种,船只
2016/12/30 20:17:26,解体,重巡洋艦,利根(Lv.1)
2016/12/30 20:17:22,解体,駆逐艦,長月(Lv.1)
2016/12/30 20:17:16,解体,駆逐艦,睦月(Lv.1)
2016/12/30 20:17:11,解体,駆逐艦,五月雨(Lv.1)
2016/12/30 20:16:54,解体,駆逐艦,朧(Lv.1)
2016/12/30 20:16:47,解体,駆逐艦,如月(Lv.1)
2016/12/30 20:15:47,解体,軽巡洋艦,木曾(Lv.1)
2016/12/30 19:10:33,解体,駆逐艦,雷(Lv.2)
2016/12/30 19:05:24,解体,駆逐艦,五月雨(Lv.2)
2016/12/30 18:59:54,解体,駆逐艦,白雪(Lv.1)
2016/12/30 17:03:48,解体,駆逐艦,望月(Lv.1)
2016/12/30 16:36:06,解体,駆逐艦,村雨(Lv.1)
2016/12/30 16:36:02,解体,駆逐艦,涼風(Lv.1)
2016/12/30 16:34:35,解体,駆逐艦,白露(Lv.1)
2016/12/30 16:34:30,解体,駆逐艦,満潮(Lv.1)
2016/12/30 16:34:25,解体,駆逐艦,如月(Lv.1)
2016/12/30 16:34:21,解体,駆逐艦,響(Lv.1)
2016/12/30 16:21:53,解体,駆逐艦,潮(Lv.1)
2016/12/30 16:14:39,解体,駆逐艦,長月(Lv.1)
2016/12/30 16:11:42,解体,駆逐艦,五月雨(Lv.1)
2016/12/30 15:49:49,改修,駆逐艦,敷波(Lv.1)
2016/12/30 15:49:49,改修,軽巡洋艦,木曾(Lv.1)
2016/12/30 15:43:20,改修,駆逐艦,響(Lv.1)
2016/12/30 15:43:20,改修,駆逐艦,若葉(Lv.1)
2016/12/30 01:19:36,解体,重巡洋艦,摩耶(Lv.1)
2016/12/30 01:19:28,解体,重巡洋艦,利根(Lv.1)
2016/12/30 01:19:22,解体,戦艦,扶桑(Lv.1)
2016/12/30 01:19:18,解体,戦艦,日向(Lv.1)
2016/12/30 01:06:57,解体,駆逐艦,不知火(Lv.1)
2016/12/30 01:06:53,解体,軽巡洋艦,那珂(Lv.1)
2016/12/30 01:06:49,解体,重巡洋艦,羽黒(Lv.1)
2016/12/30 01:06:44,解体,正規空母,蒼龍(Lv.1)
2016/12/30 01:06:37,解体,軽空母,龍驤(Lv.1)
2016/12/29 24:42:58,解体,重巡洋艦,最上(Lv.1)
2016/12/29 24:42:53,解体,駆逐艦,霞(Lv.1)
2016/12/29 24:42:45,解体,水上機母艦,千代田(Lv.1)
2016/12/29 24:42:33,解体,駆逐艦,舞風(Lv.1)
2016/12/29 24:42:28,解体,戦艦,伊勢(Lv.1)
2016/12/29 22:11:18,解体,重巡洋艦,愛宕(Lv.1)
2016/12/29 22:11:05,解体,軽空母,祥鳳(Lv.1)
2016/12/29 22:10:57,解体,重巡洋艦,足柄(Lv.1)
2016/12/29 22:10:46,解体,軽巡洋艦,五十鈴(Lv.1)
2016/12/29 21:33:29,解体,軽巡洋艦,多摩(Lv.1)
2016/12/29 21:33:22,解体,戦艦,霧島(Lv.1)
2016/12/29 21:33:18,解体,重巡洋艦,足柄(Lv.1)
2016/12/29 21:33:14,解体,駆逐艦,陽炎(Lv.1)
2016/12/29 21:33:09,解体,駆逐艦,朝潮(Lv.1)
2016/12/29 21:09:42,解体,駆逐艦,夕立(Lv.1)
2016/12/29 21:09:38,解体,駆逐艦,初雪(Lv.1)
2016/12/29 21:02:27,解体,駆逐艦,白雪(Lv.1)
2016/12/29 21:02:22,解体,駆逐艦,夕立(Lv.1)
2016/12/29 21:02:17,解体,駆逐艦,霰(Lv.1)
2016/12/29 20:57:21,解体,駆逐艦,子日(Lv.1)
2016/12/29 20:57:13,解体,駆逐艦,子日(Lv.1)
2016/12/29 20:57:02,解体,軽巡洋艦,由良(Lv.1)
2016/12/29 20:56:50,解体,駆逐艦,文月(Lv.1)
2016/12/29 20:56:37,解体,駆逐艦,朝潮(Lv.1)
2016/12/29 20:56:33,解体,駆逐艦,時雨(Lv.1)
2016/12/29 20:56:29,解体,駆逐艦,時雨(Lv.1)
2016/12/29 20:55:05,解体,駆逐艦,深雪(Lv.2)
2016/12/29 14:10:01,解体,駆逐艦,敷波(Lv.1)
2016/12/29 13:56:33,解体,駆逐艦,大潮(Lv.2)
2016/12/29 13:53:22,改修,駆逐艦,如月(Lv.1)
2016/12/29 13:53:22,改修,駆逐艦,若葉(Lv.1)
2016/12/29 13:53:13,改修,駆逐艦,如月(Lv.1)
2016/12/29 13:53:13,改修,駆逐艦,朧(Lv.1)
2016/12/29 13:38:15,解体,駆逐艦,霰(Lv.2)
2016/12/28 15:32:25,解体,駆逐艦,敷波(Lv.1)
2016/12/28 15:29:27,解体,駆逐艦,若葉(Lv.1)
2016/12/28 15:27:10,解体,駆逐艦,長月(Lv.1)
2016/12/28 15:17:28,解体,駆逐艦,綾波(Lv.1)
2016/12/28 15:13:03,改修,重巡洋艦,足柄(Lv.1)
2016/12/28 15:12:54,改修,重巡洋艦,高雄(Lv.1)
2016/12/28 15:12:20,解体,駆逐艦,睦月(Lv.2)
2016/12/28 01:36:24,改修,駆逐艦,霞(Lv.1)
2016/12/28 01:36:24,改修,駆逐艦,深雪(Lv.1)
2016/12/28 01:36:13,改修,駆逐艦,磯波(Lv.1)
2016/12/28 01:36:13,改修,駆逐艦,磯波(Lv.1)
2016/12/27 24:58:56,解体,軽巡洋艦,球磨(Lv.1)
2016/12/27 24:58:51,解体,駆逐艦,電(Lv.1)
2016/12/27 24:57:26,改修,軽空母,龍驤(Lv.1)
2016/12/27 24:56:44,改修,駆逐艦,皐月(Lv.1)
2016/12/27 24:56:44,改修,駆逐艦,子日(Lv.1)
2016/12/27 24:40:13,改修,軽空母,隼鷹(Lv.1)
2016/12/27 24:39:57,解体,駆逐艦,文月(Lv.1)
2016/12/27 23:42:43,改修,駆逐艦,朧(Lv.1)
2016/12/27 23:42:43,改修,駆逐艦,五月雨(Lv.1)
2016/12/27 23:42:21,改修,駆逐艦,子日(Lv.1)
2016/12/27 23:42:21,改修,駆逐艦,雷(Lv.1)
2016/12/27 23:34:28,改修,駆逐艦,深雪(Lv.1)
2016/12/27 23:34:28,改修,駆逐艦,大潮(Lv.1)
2016/12/27 23:34:19,改修,駆逐艦,初雪(Lv.1)
2016/12/27 23:34:19,改修,駆逐艦,深雪(Lv.1)
2016/12/27 23:34:10,改修,駆逐艦,磯波(Lv.1)
2016/12/27 23:34:10,改修,駆逐艦,村雨(Lv.1)
2016/12/27 23:33:59,改修,駆逐艦,皐月(Lv.1)
2016/12/27 23:33:59,改修,駆逐艦,雷(Lv.1)
2016/12/27 23:30:39,解体,駆逐艦,若葉(Lv.2)
2016/12/27 23:20:59,解体,駆逐艦,長月(Lv.1)
2016/12/27 23:14:35,解体,駆逐艦,朧(Lv.1)
2016/12/27 23:12:05,解体,駆逐艦,磯波(Lv.1)
2016/12/27 23:12:01,解体,駆逐艦,大潮(Lv.1)
2016/12/27 23:11:47,解体,駆逐艦,時雨(Lv.1)
2016/12/27 23:11:43,解体,駆逐艦,文月(Lv.1)
2016/12/27 23:09:34,解体,駆逐艦,電(Lv.2)
2016/12/27 23:05:17,解体,駆逐艦,初雪(Lv.1)
2016/12/27 22:53:49,解体,駆逐艦,時雨(Lv.2)
2016/12/27 22:47:03,解体,駆逐艦,文月(Lv.1)
2016/12/27 22:44:34,解体,駆逐艦,長月(Lv.2)
2016/12/27 22:39:23,解体,駆逐艦,霞(Lv.2)
2016/12/27 22:37:07,改修,駆逐艦,深雪(Lv.1)
2016/12/27 22:37:07,改修,駆逐艦,電(Lv.1)
2016/12/27 22:33:38,改修,駆逐艦,吹雪(Lv.1)
2016/12/27 22:33:38,改修,駆逐艦,若葉(Lv.1)
2016/12/27 22:33:27,改修,駆逐艦,三日月(Lv.1)
2016/12/27 22:33:27,改修,駆逐艦,菊月(Lv.1)
2016/12/27 22:33:18,改修,駆逐艦,雷(Lv.1)
2016/12/27 22:33:18,改修,駆逐艦,望月(Lv.1)
2016/12/27 22:32:32,解体,駆逐艦,皐月(Lv.2)
2016/12/27 22:24:60,解体,駆逐艦,満潮(Lv.2)
2016/12/27 22:16:14,解体,駆逐艦,霰(Lv.2)
2016/12/27 21:48:11,解体,駆逐艦,白雪(Lv.2)
2016/12/27 21:40:28,改修,軽空母,飛鷹(Lv.1)
2016/12/27 21:40:28,改修,軽空母,隼鷹(Lv.1)
2016/12/27 21:39:57,改修,戦艦,日向(Lv.1)
2016/12/26 22:19:21,改修,重巡洋艦,最上(Lv.1)
2016/12/26 22:19:21,改修,軽巡洋艦,木曾(Lv.1)
2016/12/26 22:19:21,改修,軽巡洋艦,五十鈴(Lv.1)
2016/12/26 22:06:09,改修,軽巡洋艦,龍田(Lv.1)
2016/12/26 22:06:09,改修,重巡洋艦,高雄(Lv.1)
2016/12/26 22:06:09,改修,軽空母,飛鷹(Lv.1)
2016/12/26 21:41:21,解体,駆逐艦,陽炎(Lv.1)
2016/12/26 21:41:15,解体,軽巡洋艦,那珂(Lv.1)
2016/12/26 21:15:28,改修,軽巡洋艦,龍田(Lv.1)
2016/12/26 21:15:28,改修,駆逐艦,初霜(Lv.1)
2016/12/26 21:15:28,改修,駆逐艦,時雨(Lv.1)
2016/12/26 21:15:28,改修,駆逐艦,長月(Lv.1)
2016/12/26 17:45:22,改修,駆逐艦,電(Lv.1)
2016/12/26 17:45:22,改修,駆逐艦,響(Lv.1)
2016/12/26 17:45:22,改修,駆逐艦,初雪(Lv.1)
2016/12/26 17:45:22,改修,駆逐艦,霰(Lv.1)
2016/12/26 17:45:22,改修,駆逐艦,若葉(Lv.1)
2016/12/26 17:42:43,解体,駆逐艦,子日(Lv.2)
2016/12/26 17:37:08,解体,駆逐艦,三日月(Lv.1)
2016/12/26 17:34:42,解体,駆逐艦,霞(Lv.2)
2016/12/26 17:27:08,改修,重巡洋艦,加古(Lv.1)
2016/12/26 17:27:08,改修,重巡洋艦,高雄(Lv.1)
2016/12/26 17:16:34,改修,正規空母,蒼龍(Lv.1)
2016/12/26 17:16:34,改修,水上機母艦,千代田(Lv.1)
2016/12/26 01:26:23,改修,駆逐艦,吹雪(Lv.1)
2016/12/26 01:26:23,改修,軽巡洋艦,那珂(Lv.1)
2016/12/26 01:26:23,改修,駆逐艦,初霜(Lv.1)
2016/12/26 01:26:23,改修,駆逐艦,潮(Lv.1)
2016/12/25 21:58:22,解体,駆逐艦,磯波(Lv.1)
2016/12/25 21:56:19,解体,駆逐艦,初霜(Lv.1)
2016/12/25 21:53:58,解体,駆逐艦,若葉(Lv.1)
2016/12/25 21:50:23,解体,駆逐艦,長月(Lv.1)
2016/12/25 21:40:16,解体,駆逐艦,満潮(Lv.1)
2016/12/25 21:36:10,解体,駆逐艦,電(Lv.1)
2016/12/25 21:32:59,解体,戦艦,扶桑(Lv.1)
2016/12/25 21:32:36,改修,駆逐艦,荒潮(Lv.1)
2016/12/25 21:32:36,改修,駆逐艦,深雪(Lv.1)
2016/12/25 21:32:36,改修,駆逐艦,如月(Lv.1)
2016/12/25 21:32:36,改修,駆逐艦,皐月(Lv.1)
2016/12/25 21:32:36,改修,駆逐艦,長月(Lv.1)
2016/12/25 21:31:19,解体,駆逐艦,望月(Lv.2)
2016/12/25 20:47:01,解体,駆逐艦,荒潮(Lv.1)
2016/12/25 19:34:57,解体,駆逐艦,電(Lv.2)
2016/12/25 19:30:37,解体,駆逐艦,初春(Lv.2)
2016/12/25 19:25:60,解体,駆逐艦,村雨(Lv.1)
2016/12/25 19:23:42,解体,駆逐艦,霞(Lv.2)
2016/12/25 19:12:21,解体,駆逐艦,不知火(Lv.2)
2016/12/25 19:02:50,改修,水上機母艦,千歳(Lv.1)
2016/12/25 19:02:50,改修,軽空母,飛鷹(Lv.1)
2016/12/25 18:57:31,改修,軽巡洋艦,北上(Lv.1)
2016/12/25 18:57:31,改修,重巡洋艦,羽黒(Lv.1)
2016/12/25 18:57:31,改修,重巡洋艦,摩耶(Lv.1)
2016/12/24 23:13:55,改修,戦艦,山城(Lv.1)
2016/12/24 23:13:55,改修,軽巡洋艦,名取(Lv.1)
2016/12/24 23:13:55,改修,駆逐艦,涼風(Lv.1)
2016/12/24 23:13:55,改修,重巡洋艦,加古(Lv.1)
2016/12/24 23:13:55,改修,重巡洋艦,最上(Lv.1)
2016/12/24 15:39:48,改修,軽空母,隼鷹(Lv.1)
2016/12/24 15:39:17,改修,軽巡洋艦,那珂(Lv.1)
2016/12/24 15:39:17,改修,軽巡洋艦,球磨(Lv.1)
2016/12/24 15:39:17,改修,戦艦,伊勢(Lv.1)
2016/12/24 15:29:14,改修,駆逐艦,綾波(Lv.1)
2016/12/24 15:29:14,改修,駆逐艦,黒潮(Lv.1)
2016/12/24 15:29:14,改修,軽巡洋艦,天龍(Lv.1)
2016/12/24 15:29:04,改修,戦艦,霧島(Lv.1)
2016/12/24 15:29:04,改修,重巡洋艦,足柄(Lv.1)
2016/12/24 15:29:04,改修,重巡洋艦,足柄(Lv.1)
2016/12/24 15:29:04,改修,重巡洋艦,羽黒(Lv.1)
2016/12/24 15:29:04,改修,駆逐艦,陽炎(Lv.1)
2016/12/24 14:56:38,解体,駆逐艦,若葉(Lv.1)
2016/12/24 14:56:34,解体,駆逐艦,如月(Lv.1)
2016/12/24 14:56:30,解体,駆逐艦,皐月(Lv.1)
2016/12/24 14:56:26,解体,駆逐艦,綾波(Lv.1)
2016/12/24 14:56:21,解体,駆逐艦,深雪(Lv.1)
2016/12/24 14:56:18,解体,駆逐艦,吹雪(Lv.1)
2016/12/24 14:56:14,解体,駆逐艦,霞(Lv.1)
2016/12/24 14:56:10,解体,駆逐艦,綾波(Lv.1)
2016/12/24 14:56:05,解体,駆逐艦,夕立(Lv.1)
2016/12/24 14:56:01,解体,軽巡洋艦,神通(Lv.1)
2016/12/24 14:42:13,解体,駆逐艦,涼風(Lv.2)
2016/12/24 14:42:09,解体,駆逐艦,荒潮(Lv.2)
2016/12/24 14:42:05,解体,駆逐艦,文月(Lv.2)
2016/12/24 14:36:57,解体,駆逐艦,初雪(Lv.1)
2016/12/24 14:27:52,解体,駆逐艦,若葉(Lv.1)
2016/12/24 14:25:37,解体,駆逐艦,漣(Lv.1)
2016/12/24 12:58:49,解体,駆逐艦,初霜(Lv.1)
2016/12/24 12:58:44,解体,駆逐艦,望月(Lv.1)
2016/12/24 12:36:16,解体,駆逐艦,敷波(Lv.1)
2016/12/24 12:36:12,解体,駆逐艦,三日月(Lv.1)
2016/12/24 12:33:47,解体,軽巡洋艦,神通(Lv.1)
2016/12/24 12:33:10,解体,駆逐艦,涼風(Lv.1)
2016/12/24 12:29:37,解体,駆逐艦,睦月(Lv.2)
2016/12/24 12:23:20,解体,駆逐艦,電(Lv.2)
2016/12/24 11:53:22,改修,駆逐艦,子日(Lv.1)
2016/12/24 11:53:22,改修,駆逐艦,望月(Lv.1)
2016/12/24 11:53:12,改修,重雷装巡洋艦,大井改二(Lv.51)
2016/12/22 24:32:58,解体,駆逐艦,五月雨(Lv.1)
2016/12/22 24:32:49,解体,駆逐艦,電(Lv.1)
2016/12/22 23:47:53,解体,駆逐艦,響(Lv.2)
2016/12/22 23:41:25,解体,駆逐艦,若葉(Lv.1)
2016/12/22 23:40:18,解体,駆逐艦,白雪(Lv.1)
2016/12/22 23:40:13,解体,駆逐艦,望月(Lv.1)
2016/12/22 23:40:07,解体,駆逐艦,響(Lv.1)
2016/12/22 23:36:44,解体,駆逐艦,白雪(Lv.1)
2016/12/22 23:32:08,解体,駆逐艦,涼風(Lv.2)
2016/12/22 23:27:33,解体,駆逐艦,敷波(Lv.1)
2016/12/22 23:23:55,解体,駆逐艦,若葉(Lv.1)
2016/12/22 23:23:50,解体,駆逐艦,敷波(Lv.2)
2016/12/22 23:04:39,解体,駆逐艦,三日月(Lv.2)
2016/12/22 22:58:50,解体,駆逐艦,満潮(Lv.1)
2016/12/22 22:56:24,解体,駆逐艦,潮(Lv.1)
2016/12/22 22:53:51,解体,駆逐艦,響(Lv.2)
2016/12/22 22:45:43,解体,駆逐艦,吹雪(Lv.1)
2016/12/22 22:43:27,解体,駆逐艦,磯波(Lv.1)
2016/12/22 22:43:22,解体,駆逐艦,若葉(Lv.1)
2016/12/22 16:11:44,解体,駆逐艦,三日月(Lv.1)
2016/12/22 16:01:07,解体,駆逐艦,朧(Lv.1)
2016/12/22 15:48:41,解体,駆逐艦,如月(Lv.2)
2016/12/22 15:43:08,解体,駆逐艦,初霜(Lv.1)
2016/12/22 15:37:20,解体,駆逐艦,雷(Lv.1)
2016/12/22 15:33:02,解体,駆逐艦,村雨(Lv.2)
2016/12/22 15:30:11,解体,駆逐艦,初雪(Lv.1)
2016/12/22 15:30:05,解体,駆逐艦,子日(Lv.1)
2016/12/22 15:27:10,解体,駆逐艦,初雪(Lv.1)
2016/12/22 15:20:52,解体,駆逐艦,夕立(Lv.2)
2016/12/22 15:14:14,解体,駆逐艦,霞(Lv.2)
2016/12/22 15:08:56,解体,駆逐艦,五月雨(Lv.2)
2016/12/22 15:06:41,改修,駆逐艦,皐月(Lv.1)
2016/12/22 15:06:41,改修,駆逐艦,朧(Lv.1)
2016/12/22 14:60:26,解体,駆逐艦,曙(Lv.2)
2016/12/22 14:55:43,改修,駆逐艦,白雪(Lv.1)
2016/12/22 14:55:43,改修,駆逐艦,深雪(Lv.1)
2016/12/21 22:57:11,解体,駆逐艦,如月(Lv.1)
2016/12/20 23:25:11,解体,駆逐艦,若葉(Lv.1)
2016/12/20 23:15:19,解体,軽巡洋艦,由良(Lv.1)
2016/12/20 23:15:15,解体,戦艦,扶桑(Lv.1)
2016/12/20 23:08:02,解体,重巡洋艦,摩耶(Lv.1)
2016/12/20 23:07:58,解体,軽巡洋艦,北上(Lv.1)
2016/12/20 23:07:53,解体,軽空母,龍驤(Lv.1)
2016/12/20 22:34:31,改修,駆逐艦,夕立(Lv.1)
2016/12/20 22:34:31,改修,軽巡洋艦,五十鈴(Lv.1)
2016/12/20 22:34:14,改修,駆逐艦,潮(Lv.1)
2016/12/20 22:34:14,改修,駆逐艦,曙(Lv.1)
2016/12/20 22:02:09,改修,駆逐艦,若葉(Lv.1)
2016/12/20 22:02:09,改修,駆逐艦,白雪(Lv.1)
2016/12/20 22:01:55,改修,水上機母艦,千歳(Lv.1)
2016/12/20 21:36:08,改修,駆逐艦,涼風(Lv.1)
2016/12/20 21:36:08,改修,水上機母艦,千歳(Lv.1)
2016/12/20 21:29:37,改修,軽空母,隼鷹(Lv.1)
2016/12/20 21:23:24,改修,駆逐艦,如月(Lv.1)
2016/12/20 21:23:24,改修,軽巡洋艦,龍田(Lv.1)
2016/12/20 21:22:58,改修,駆逐艦,霰(Lv.1)
2016/12/20 21:22:58,改修,駆逐艦,荒潮(Lv.1)
2016/12/20 21:08:59,改修,重巡洋艦,羽黒(Lv.1)
2016/12/20 21:08:59,改修,軽巡洋艦,木曾(Lv.1)
2016/12/20 21:08:24,改修,駆逐艦,満潮(Lv.1)
2016/12/20 21:08:24,改修,駆逐艦,不知火(Lv.1)
2016/12/20 21:08:11,改修,戦艦,霧島(Lv.1)
2016/12/20 20:39:56,改修,重巡洋艦,筑摩(Lv.1)
2016/12/20 20:38:23,改修,重巡洋艦,那智(Lv.1)
2016/12/20 20:38:11,改修,駆逐艦,子日(Lv.1)
2016/12/20 20:38:11,改修,駆逐艦,霰(Lv.1)
2016/12/20 20:37:50,改修,軽空母,祥鳳(Lv.1)
2016/12/20 19:01:05,改修,駆逐艦,朧(Lv.1)
2016/12/20 19:01:05,改修,駆逐艦,電(Lv.1)
2016/12/20 18:59:53,改修,駆逐艦,深雪(Lv.1)
2016/12/20 18:59:53,改修,駆逐艦,如月(Lv.1)
2016/12/20 18:51:11,解体,駆逐艦,深雪(Lv.1)
2016/12/20 18:47:42,解体,駆逐艦,皐月(Lv.1)
2016/12/20 18:44:26,解体,駆逐艦,朧(Lv.2)
2016/12/20 18:37:47,解体,駆逐艦,雷(Lv.2)
2016/12/20 18:26:39,解体,駆逐艦,雷(Lv.2)
2016/12/20 18:19:33,解体,駆逐艦,初霜(Lv.1)
2016/12/20 18:17:17,解体,駆逐艦,朧(Lv.2)
2016/12/20 15:12:21,改修,駆逐艦,菊月(Lv.1)
2016/12/20 15:12:21,改修,駆逐艦,文月(Lv.1)
2016/12/20 01:12:37,解体,駆逐艦,時雨(Lv.1)
2016/12/19 24:48:56,解体,駆逐艦,初雪(Lv.1)
2016/12/19 24:47:36,解体,駆逐艦,三日月(Lv.1)
2016/12/19 21:30:44,解体,駆逐艦,若葉(Lv.1)
2016/12/19 21:21:48,解体,駆逐艦,暁(Lv.1)
2016/12/19 21:21:40,解体,駆逐艦,不知火(Lv.1)
2016/12/19 21:04:35,改修,駆逐艦,夕立(Lv.1)
2016/12/19 21:04:35,改修,駆逐艦,望月(Lv.1)
2016/12/19 18:44:17,改修,駆逐艦,涼風(Lv.1)
2016/12/19 18:44:17,改修,駆逐艦,文月(Lv.1)
2016/12/18 22:29:05,解体,駆逐艦,睦月(Lv.1)
2016/12/18 21:59:14,解体,水上機母艦,千代田(Lv.1)
2016/12/18 21:52:55,解体,駆逐艦,黒潮(Lv.1)
2016/12/18 20:28:44,解体,駆逐艦,綾波(Lv.1)
2016/12/18 20:13:57,解体,駆逐艦,敷波(Lv.2)
2016/12/18 19:33:16,解体,駆逐艦,子日(Lv.1)
2016/12/18 19:27:23,解体,駆逐艦,響(Lv.2)
2016/12/18 19:18:10,解体,駆逐艦,初霜(Lv.1)
2016/12/18 19:06:55,解体,駆逐艦,白雪(Lv.1)
2016/12/18 18:18:12,解体,駆逐艦,初雪(Lv.1)
2016/12/18 18:18:07,解体,駆逐艦,初霜(Lv.1)
2016/12/18 15:35:12,解体,駆逐艦,文月(Lv.1)
2016/12/18 15:30:08,解体,駆逐艦,夕立(Lv.1)
2016/12/18 15:23:44,改修,駆逐艦,長月(Lv.1)
2016/12/18 15:23:44,改修,駆逐艦,時雨(Lv.2)
2016/12/18 15:14:33,改修,駆逐艦,響(Lv.1)
2016/12/18 15:14:33,改修,軽巡洋艦,北上(Lv.1)
2016/12/18 02:12:60,解体,駆逐艦,雷(Lv.2)
2016/12/17 21:04:43,解体,駆逐艦,長月(Lv.1)
2016/12/17 20:40:31,解体,駆逐艦,敷波(Lv.1)
2016/12/17 20:37:27,解体,駆逐艦,子日(Lv.1)
2016/12/17 20:23:33,解体,駆逐艦,初雪(Lv.1)
2016/12/17 20:18:28,解体,駆逐艦,霞(Lv.2)
2016/12/17 20:08:37,解体,駆逐艦,長月(Lv.1)
2016/12/17 20:05:41,解体,駆逐艦,如月(Lv.1)
2016/12/17 20:02:51,解体,駆逐艦,長月(Lv.2)
2016/12/17 19:40:34,解体,駆逐艦,吹雪(Lv.1)
2016/12/17 19:40:16,解体,駆逐艦,不知火(Lv.1)
2016/12/17 17:46:09,解体,駆逐艦,望月(Lv.1)
2016/12/17 17:45:28,解体,駆逐艦,子日(Lv.1)
2016/12/17 17:43:31,解体,駆逐艦,夕立(Lv.1)
2016/12/17 17:43:27,解体,駆逐艦,大潮(Lv.1)
2016/12/17 17:43:22,解体,駆逐艦,電(Lv.1)
2016/12/17 17:43:08,解体,駆逐艦,敷波(Lv.1)
2016/12/17 16:13:33,解体,駆逐艦,初雪(Lv.2)
2016/12/17 15:30:13,改修,重巡洋艦,愛宕(Lv.1)
2016/12/17 15:30:04,改修,戦艦,扶桑(Lv.1)
2016/12/16 23:24:17,解体,駆逐艦,荒潮(Lv.1)
2016/12/16 23:24:13,解体,軽巡洋艦,球磨(Lv.1)
2016/12/16 23:24:08,解体,重巡洋艦,摩耶(Lv.1)
2016/12/16 23:24:04,解体,重巡洋艦,高雄(Lv.1)
2016/12/16 21:23:51,解体,重巡洋艦,加古(Lv.1)
2016/12/16 21:23:46,解体,重巡洋艦,羽黒(Lv.1)
2016/12/16 21:23:33,解体,重巡洋艦,摩耶(Lv.1)
2016/12/16 21:23:19,解体,重巡洋艦,衣笠(Lv.1)
2016/12/16 21:23:15,解体,重巡洋艦,最上(Lv.1)
2016/12/16 21:06:09,解体,軽巡洋艦,神通(Lv.1)
2016/12/16 21:06:05,解体,軽巡洋艦,球磨(Lv.1)
2016/12/16 19:28:52,解体,軽空母,龍驤(Lv.1)
2016/12/16 19:16:54,解体,駆逐艦,村雨(Lv.1)
2016/12/16 19:16:49,解体,駆逐艦,三日月(Lv.1)
2016/12/16 19:16:45,解体,駆逐艦,睦月(Lv.1)
2016/12/16 19:15:14,解体,駆逐艦,若葉(Lv.2)
2016/12/16 19:08:42,解体,駆逐艦,涼風(Lv.1)
2016/12/16 19:05:01,解体,駆逐艦,吹雪(Lv.1)
2016/12/16 19:02:09,解体,駆逐艦,荒潮(Lv.2)
2016/12/16 18:59:15,解体,駆逐艦,望月(Lv.1)
2016/12/16 18:55:32,解体,駆逐艦,長月(Lv.1)
2016/12/16 18:50:31,解体,駆逐艦,叢雲(Lv.1)
2016/12/16 18:42:55,改修,駆逐艦,敷波(Lv.1)
2016/12/16 18:42:55,改修,軽巡洋艦,由良(Lv.1)
2016/12/16 18:42:35,改修,重巡洋艦,那智(Lv.1)
2016/12/15 22:19:48,解体,軽巡洋艦,那珂(Lv.1)
2016/12/15 22:19:22,解体,軽巡洋艦,川内(Lv.1)
2016/12/15 22:19:16,解体,軽巡洋艦,五十鈴(Lv.1)
2016/12/15 22:19:04,解体,軽巡洋艦,那珂(Lv.1)
2016/12/15 21:44:04,改修,軽巡洋艦,神通(Lv.1)
2016/12/15 21:44:04,改修,重巡洋艦,鳥海(Lv.1)
2016/12/15 21:44:04,改修,重巡洋艦,筑摩(Lv.1)
2016/12/15 21:44:04,改修,重巡洋艦,高雄(Lv.1)
2016/12/15 21:25:11,改修,重巡洋艦,妙高(Lv.1)
2016/12/15 21:25:11,改修,駆逐艦,霰(Lv.1)
2016/12/15 21:25:11,改修,軽巡洋艦,多摩(Lv.1)
2016/12/15 21:25:11,改修,軽巡洋艦,神通(Lv.1)
2016/12/15 21:25:11,改修,軽巡洋艦,那珂(Lv.1)
2016/12/15 21:05:46,改修,駆逐艦,満潮(Lv.1)
2016/12/15 21:05:46,改修,駆逐艦,陽炎(Lv.1)
2016/12/15 21:05:46,改修,駆逐艦,涼風(Lv.1)
2016/12/15 20:59:04,改修,軽巡洋艦,龍田(Lv.1)
2016/12/15 20:59:04,改修,軽巡洋艦,川内(Lv.1)
2016/12/15 20:59:04,改修,軽巡洋艦,龍田(Lv.1)
2016/12/15 20:46:15,改修,戦艦,霧島(Lv.1)
2016/12/15 20:46:15,改修,重巡洋艦,愛宕(Lv.1)
2016/12/15 20:46:15,改修,軽巡洋艦,名取(Lv.1)
2016/12/15 20:30:08,改修,駆逐艦,菊月(Lv.1)
2016/12/15 20:30:08,改修,駆逐艦,荒潮(Lv.1)
2016/12/15 20:30:08,改修,駆逐艦,如月(Lv.1)
2016/12/15 20:29:32,解体,駆逐艦,綾波(Lv.1)
2016/12/15 20:24:37,解体,駆逐艦,村雨(Lv.1)
2016/12/15 20:21:44,解体,駆逐艦,潮(Lv.1)
2016/12/15 20:19:16,解体,駆逐艦,白雪(Lv.1)
2016/12/15 20:15:33,改修,軽巡洋艦,神通(Lv.1)
2016/12/15 20:15:33,改修,駆逐艦,時雨(Lv.1)
2016/12/15 20:15:33,改修,駆逐艦,電(Lv.1)
2016/12/15 20:14:36,解体,駆逐艦,敷波(Lv.1)
2016/12/15 20:11:53,解体,駆逐艦,若葉(Lv.1)
2016/12/15 19:48:30,改修,戦艦,榛名(Lv.1)
2016/12/15 19:48:30,改修,戦艦,霧島(Lv.1)
2016/12/15 19:38:23,改修,軽巡洋艦,木曾(Lv.1)
2016/12/15 19:38:23,改修,駆逐艦,霰(Lv.1)
